region,postcode,place,county,Gravemaskin - belter,Lastebiler,Hjullastere,Traktorer,Maskinhengere,Gravemaskin - hjul,Minimaskiner < 5tonn,Dumpere,Borevogner,Knuseverk,Trekkvogner,Kompressorer,Containerbiler,Bulldosere,Veghøvler,Andre,Maskiner Totalt,Registrering år,Næring,Antall ansatte,Omsetning EUR,Name
Region Øst,2067,Jessheim,Akershus,5,4,2,0,1,0,1,1,0,1,0,0,1,1,0,2,19,"=""22.01.2011",Grunnarbeid (43120),44,10435996,Company 1
Region Nord,9540,Talvik,Finnmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=""31.03.2009",Detaljhandel med drivstoff til motorvogner (47300),2,4127092,Company 2
Seksjon Ressurs og miljø,2317,Hamar,Hedmark,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,7,12,"=""10.02.2004",Innsamling av ikke-farlig avfall (38110),45,15175605,Company 3
Region Vest,6963,Dale i Sunnfjord,Sogn og Fjordane,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,"=""18.04.2013",Annen spesialisert bygge- og anleggsvirksomhet (43990),1,446362,Company 4
Region Øst,2387,Brumunddal,Hedmark,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,"=""12.02.2005",Grunnarbeid (43120),5,928763,Company 5
Region Vest,6843,Skei i Jølster,Sogn og Fjordane,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,8,"=""01.07.2003",Grunnarbeid (43120),19,1751881,Company 6
Region Øst,1712,Grålum,Østfold,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"=""12.03.1995",Utleie av egen eller leid fast eiendom ellers (68209),2,11371,Company 7
Region Midt,6011,Ålesund,Møre og Romsdal,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,10,"=""19.02.1995",Grunnarbeid (43120),9,3323076,Company 8
Region Midt,6422,Molde,Møre og Romsdal,10,3,3,0,1,0,1,2,1,0,0,0,0,0,0,2,23,"=""18.02.1999",Grunnarbeid (43120),16,3136162,Company 9
Region Vest,6783,Stryn,Sogn og Fjordane,2,1,2,0,1,0,0,1,1,4,1,0,0,0,0,0,13,"=""20.02.1995",Bryting av stein til bygge- og anleggsvirksomhet (08111),2,162392,Company 10
Region Midt,6200,Stranda,Møre og Romsdal,7,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,15,"=""27.10.1997",Grunnarbeid (43120),12,2363769,Company 11
Region Nord,8215,Valnesfjord,Nordland,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,7,"=""10.12.2011",Bygging av vann- og kloakkanlegg (42210),4,658676,Company 12
Region Nord,9991,Båtsfjord,Finnmark,3,3,2,0,1,1,1,0,1,1,0,0,2,0,0,1,16,"=""20.02.1995",Bygging av veier og motorveier (42110),16,1491755,Company 13
Region Vest,6856,Sogndal,Sogn og Fjordane,3,0,1,1,0,0,0,3,0,0,0,0,0,0,1,1,10,"=""19.02.1995",Grunnarbeid (43120),4,,Company 14
Region Sørøst,3841,Flatdal,Telemark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Company 15
Region Nord,8200,Fauske,Nordland,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,"=""20.07.1998","Utvinning fra grus- og sandtak, og utvinning av leire og kaolin (08120)",10,1971826,Company 16
